Apis_Gene_ID,Apis_Genbank_ID,BEEBASE,OGS_v1_1,Bombus_Genbank_ID,Bombus_Gene_ID,Bombus_Description
LOC100576130,XP_016769998.1,GB48796,NA,XP_003403344.1,LOC100643185,uncharacterized protein LOC100643185 isoform X1
LOC100576131,XP_006569625.1,GB44745,GB11295,XP_012165293.1,LOC100643806,zinc finger and SCAN domain-containing protein 12-like
LOC100576132,XP_016767477.1,GB54923,GB12624,XP_012167075.1,LOC100646612,lymphoid-restricted membrane protein-like isoform X2
LOC100576132,XP_003251757.2,GB54923,NA,NA,NA,NA
LOC100576132,XP_006571640.1,GB54923,NA,NA,NA,NA
LOC100576132,XP_016767456.1,GB54923,NA,NA,NA,NA
LOC100576132,XP_016767461.1,GB54923,NA,NA,NA,NA
LOC100576132,XP_016767464.1,GB54923,NA,NA,NA,NA
LOC100576132,XP_016767471.1,GB54923,NA,NA,NA,NA
LOC100576132,XP_016767476.1,GB54923,NA,NA,NA,NA
LOC100576132,XP_016767480.1,GB54923,NA,NA,NA,NA
LOC100576134,XP_006557857.1,GB56028,NA,XP_003398243.1,LOC100642814,uncharacterized protein LOC100642814
LOC100576134,XP_006557858.1,GB56028,NA,NA,NA,NA
LOC100576135,XP_016767075.1,GB54881,GB10330,XP_003395261.2,LOC100644249,uncharacterized protein LOC100644249
LOC100576136,XP_016771932.1,GB48468,GB18193,XP_003400510.1,LOC100643664,zinc finger BED domain-containing protein 1 isoform X1
LOC100576137,XP_003249408.1,NA,NA,XP_003397104.2,LOC100650928,uncharacterized protein LOC100650928
LOC100576140,XP_003250480.1,GB54223,GB14633,XP_012167811.1,LOC100642966,uncharacterized protein LOC100642966
LOC100576143,XP_016768417.1,GB45416,GB16870,NA,NA,NA
LOC100576143,XP_003251662.1,GB45416,NA,XP_012163134.1,LOC100648241,LOW QUALITY PROTEIN: HAUS augmin-like complex subunit 3
LOC100576145,XP_003252069.1,NA,NA,NA,NA,NA
LOC100576146,XP_016768578.1,GB40271,GB30372,XP_012166228.1,LOC100649454,aladin-like
LOC100576147,XP_006559945.1,GB50374,GB16177,XP_003398898.1,LOC100643129,fork head domain-containing protein FD4
LOC100576149,XP_016769693.1,GB42589,NA,NA,NA,NA
LOC100576150,XP_003250331.1,GB50249,GB30016,XP_003400977.1,LOC100651263,MYCBP-associated protein-like
LOC100576151,XP_003250418.1,GB48599,GB18230,XP_012164563.1,LOC100650280,STAGA complex 65 subunit gamma-like isoform X1
LOC100576151,XP_006564167.1,GB48599,NA,XP_012164564.1,LOC100650280,STAGA complex 65 subunit gamma-like isoform X2
LOC100576151,XP_006564168.1,GB48599,NA,NA,NA,NA
LOC100576152,XP_003250708.1,GB41622,GB13909,XP_003400435.1,LOC100644695,uncharacterized protein LOC100644695
LOC100576153,XP_006566665.1,GB45224,GB16279,XP_012171977.1,LOC100648268,odorant receptor 13a-like
LOC100576153,XP_016770747.1,GB45224,NA,NA,NA,NA
LOC100576155,XP_003251920.3,NA,NA,XP_012164519.1,LOC100644365,uncharacterized protein LOC100644365
LOC100576156,XP_006572462.1,GB48490,NA,NA,NA,NA
LOC100576157,XP_003249214.1,GB43941,GB19674,XP_003396485.1,LOC100644926,uncharacterized protein LOC100644926 isoform X2
LOC100576159,XP_003249723.2,GB49444,GB16971,XP_012172506.1,LOC100644698,LOW QUALITY PROTEIN: uncharacterized protein LOC100644698
LOC100576161,XP_003249952.3,NA,NA,XP_003402882.1,LOC100652145,uncharacterized protein LOC100652145
LOC100576162,XP_003250108.1,GB46023,GB12143,XP_003396155.1,LOC100643764,uncharacterized protein LOC100643764
LOC100576163,XP_003250155.1,GB50444,NA,NA,NA,NA
LOC100576165,XP_003250517.1,NA,GB13259,XP_003395574.1,LOC100642566,uncharacterized protein LOC100642566
LOC100576167,XP_016769530.1,GB53327,GB30247,XP_003397918.2,LOC100651886,putative gustatory receptor 28b
LOC100576169,XP_003251700.2,GB42244,GB12159,XP_012165776.1,LOC100644873,cytokine receptor isoform X2
LOC100576170,XP_003251865.1,GB52571,GB30407,XP_003397706.1,LOC100645799,sialidase-like
LOC100576171,XP_003252021.2,NA,NA,NA,NA,NA
LOC100576172,XP_016768115.1,NA,NA,NA,NA,NA
LOC100576174,XP_003249688.1,GB45908,GB19376,XP_003393560.1,LOC100651313,uncharacterized protein LOC100651313
LOC100576176,XP_016770410.1,GB44992,GB15484,XP_012169656.1,LOC100646072,uncharacterized protein LOC100646072
LOC100576179,XP_003251567.2,GB43404,GB12153,XP_012164744.1,LOC100643932,cilia- and flagella-associated protein 43-like
LOC100576182,XP_003249871.1,GB54554,GB16057,XP_003397314.1,LOC100646384,cuticle protein 21.3-like
LOC100576184,XP_003250709.1,GB41618,GB12661,XP_003400438.1,LOC100645062,uncharacterized protein LOC100645062
LOC100576185,XP_006566674.1,GB45229,GB11184,XP_012168565.1,LOC100650968,LOW QUALITY PROTEIN: uncharacterized protein LOC100650968
LOC100576186,XP_006566668.1,GB44932,GB16475,XP_012168573.1,LOC100645336,alanine--glyoxylate aminotransferase 2%2C mitochondrial
LOC100576187,XP_003251881.3,GB55958,GB14616,XP_012173142.1,LOC100647877,E3 ubiquitin-protein ligase AMFR-like
LOC100576188,XP_003251951.2,GB42130,GB16798,NA,NA,NA
LOC100576192,XP_003249953.1,GB42903,NA,NA,NA,NA
LOC100576192,XP_006561939.1,GB42903,NA,XP_012167412.1,LOC100646713,uncharacterized protein LOC100646713
LOC100576193,XP_003250171.1,GB48342,NA,XP_012168188.1,LOC100649099,anther-specific proline-rich protein APG-like isoform X2
LOC100576193,XP_006562941.1,GB48342,NA,NA,NA,NA
LOC100576194,XP_003250310.1,GB50277,GB13352,XP_012169570.1,LOC100651964,forkhead box protein J1-A-like
LOC100576195,XP_006565006.1,GB52685,GB12603,NA,NA,NA
LOC100576195,XP_003250551.1,GB52685,NA,NA,NA,NA
LOC100576195,XP_006565003.1,GB52685,NA,NA,NA,NA
LOC100576195,XP_006565004.1,GB52685,NA,NA,NA,NA
LOC100576195,XP_016771563.1,GB52685,NA,XP_003400782.1,LOC100646681,uncharacterized protein LOC100646681 isoform X1
LOC100576196,XP_006565644.1,GB50295,GB10727,NA,NA,NA
LOC100576196,XP_006565642.1,GB50295,NA,NA,NA,NA
LOC100576196,XP_016767706.1,GB50295,NA,XP_012164501.1,LOC100647259,uncharacterized protein LOC100647259
LOC100576198,XP_003251162.1,GB54794,GB16079,NA,NA,NA
LOC100576198,XP_016769306.1,GB54794,NA,XP_003401665.1,LOC100646564,uncharacterized protein LOC100646564
LOC100576198,XP_016769307.1,GB54794,NA,NA,NA,NA
LOC100576212,XP_003249267.2,GB40189,NA,NA,NA,NA
LOC100576213,XP_006560165.2,GB52902,NA,NA,NA,NA
LOC100576215,XP_003250493.1,NA,GB20147,XP_003403210.1,LOC100644588,pancreas transcription factor 1 subunit alpha
LOC100576215,XP_003250495.1,NA,NA,NA,NA,NA
LOC100576215,XP_006564747.1,NA,NA,NA,NA,NA
LOC100576216,XP_016767897.1,GB48619,GB17352,XP_003395571.1,LOC100642245,zinc finger protein 345-like isoform X3
LOC100576216,XP_016767898.1,GB48619,GB10656,XP_012164015.1,LOC100642245,zinc finger protein 16-like isoform X5
LOC100576217,XP_016769730.1,GB50987,GB17682,XP_012168438.1,LOC100645053,LOW QUALITY PROTEIN: adenylate cyclase type 10-like
LOC100576220,XP_003249297.1,GB41411,GB20009,XP_003397740.1,LOC100649933,homeobox protein rough
LOC100576220,XP_016769519.1,GB41411,NA,NA,NA,NA
LOC100576221,XP_003249724.1,GB49500,GB30304,XP_012172512.1,LOC105665619,GDNF-inducible zinc finger protein 1-like isoform X1
LOC100576222,XP_003250109.1,GB46056,GB19031,XP_003396149.1,LOC100643078,heart- and neural crest derivatives-expressed protein 1
LOC100576223,XP_016769928.1,NA,GB11062,NA,NA,NA
LOC100576223,XP_006562945.1,NA,NA,XP_012168448.1,LOC100648253,uncharacterized protein LOC100648253
LOC100576223,XP_006562946.1,NA,NA,NA,NA,NA
LOC100576224,XP_006563697.2,GB49982,GB30017,XP_012172014.1,LOC100651140,carbonic anhydrase 2-like
LOC100576224,XP_016772150.1,GB49982,GB10099,XP_012172013.1,LOC105666516,carbonic anhydrase 2-like
LOC100576225,XP_006564103.1,GB43501,NA,XP_003398839.1,LOC100645842,C-type lectin domain-containing protein 141-like
LOC100576225,XP_016770562.1,GB43501,NA,NA,NA,NA
LOC100576226,XP_006565007.2,GB52806,GB12629,XP_003400756.1,LOC100643592,uncharacterized protein C7orf50 homolog isoform X2
LOC100576227,XP_006565216.1,GB49354,GB10120,NA,NA,NA
LOC100576227,XP_003250613.2,GB49354,NA,XP_003399501.1,LOC100648605,putative uncharacterized protein DDB_G0284213
LOC100576231,XP_016771193.1,NA,NA,XP_012164823.1,LOC100651149,uncharacterized protein LOC100651149
LOC100576232,XP_006572597.1,GB47167,NA,NA,NA,NA
LOC100576233,XP_016768320.1,GB51185,GB12791,NA,NA,NA
LOC100576233,XP_006557585.2,GB51185,NA,XP_012164717.1,LOC100646656,uncharacterized protein LOC100646656
LOC100576234,XP_016766901.1,GB55851,NA,NA,NA,NA
LOC100576234,XP_016766902.1,GB55851,NA,NA,NA,NA
LOC100576234,XP_016766903.1,GB55851,NA,NA,NA,NA
LOC100576234,XP_016766904.1,GB55851,NA,NA,NA,NA
LOC100576234,XP_016766905.1,GB55851,NA,NA,NA,NA
LOC100576236,XP_006562979.1,GB54153,GB18961,NA,NA,NA
LOC100576236,XP_003250191.1,GB54153,NA,XP_003400750.1,LOC100642776,uncharacterized protein LOC100642776
LOC100576236,XP_006562980.1,GB54153,NA,NA,NA,NA
LOC100576242,XP_016767267.1,GB48948,GB15124,XP_003392889.1,LOC100646091,protein MAATS1-like isoform X2
LOC100576243,XP_006572344.1,NA,NA,NA,NA,NA
LOC100576244,XP_016773127.1,NA,NA,NA,NA,NA
LOC100576246,XP_003249268.2,GB40187,GB30277,NA,NA,NA
LOC100576247,XP_006559288.1,GB12765,GB12765,XP_012168391.1,LOC100643816,frizzled-2-like
LOC100576247,XP_006559289.1,GB12765,NA,NA,NA,NA
LOC100576247,XP_006559290.1,GB12765,NA,NA,NA,NA
LOC100576247,XP_006559291.1,GB12765,NA,NA,NA,NA
LOC100576247,XP_006559293.1,GB12765,NA,NA,NA,NA
LOC100576248,XP_016771182.1,GB50647,GB10487,XP_012171066.1,LOC105666417,balbiani ring protein 3-like
LOC100576249,XP_016766410.1,GB50777,GB10951,XP_003393529.1,LOC100647286,uncharacterized protein LOC100647286
LOC100576251,XP_016771750.1,GB41731,GB12313,NA,NA,NA
LOC100576251,XP_006565834.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771742.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771744.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771745.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771746.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771747.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771748.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771749.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771751.1,GB41731,NA,NA,NA,NA
LOC100576251,XP_016771752.1,GB41731,NA,XP_003400451.2,LOC100646754,putative uncharacterized protein DDB_G0271606
LOC100576251,XP_016771753.1,GB41731,NA,NA,NA,NA
LOC100576253,XP_003251207.2,GB52938,NA,XP_003396130.1,LOC100650724,uncharacterized protein LOC100650724
LOC100576253,XP_006568298.2,GB52938,NA,NA,NA,NA
LOC100576253,XP_016768415.1,GB52938,NA,NA,NA,NA
LOC100576253,XP_016768416.1,GB52938,NA,NA,NA,NA
LOC100576254,XP_003251295.1,GB55617,GB15084,XP_003393767.1,LOC100647409,uncharacterized protein LOC100647409
LOC100576258,XP_003251741.1,GB51566,GB19605,XP_003392989.1,LOC100648386,uncharacterized protein LOC100648386
LOC100576259,XP_003251952.2,GB52231,GB14590,NA,NA,NA
LOC100576260,XP_006557735.1,NA,NA,NA,NA,NA
LOC100576261,XP_016769520.1,GB41391,GB17910,XP_012167288.1,LOC100643940,zinc finger protein 468-like
LOC100576262,XP_006560760.1,GB49503,GB30486,XP_012172847.1,LOC100645657,serum response factor homolog A-like
LOC100576263,XP_006562657.1,GB43299,NA,NA,NA,NA
LOC100576265,XP_016771492.1,NA,GB19659,XP_012171913.1,LOC105666495,microtubule organizer protein 1-like
LOC100576266,XP_003250614.1,GB49355,GB13428,XP_003399503.1,LOC100648836,uncharacterized protein LOC100648836
LOC100576266,XP_006565217.1,GB49355,NA,NA,NA,NA
LOC100576270,XP_003251902.2,GB46984,GB17959,XP_003398353.1,LOC100646186,ribonuclease UK114
LOC100576270,XP_016772925.1,GB46984,NA,NA,NA,NA
LOC100576271,XP_006561699.1,GB42787,GB16730,XP_012167664.1,LOC100648252,paternally-expressed gene 3 protein-like
LOC100576271,XP_003249899.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561695.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561696.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561697.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561698.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561700.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561701.1,GB42787,NA,NA,NA,NA
LOC100576271,XP_006561702.1,GB42787,NA,NA,NA,NA
LOC100576272,XP_003249995.1,GB55918,GB19814,XP_003395192.1,LOC100645709,tRNA-splicing endonuclease subunit Sen34
LOC100576273,XP_003250259.1,GB50166,GB30039,XP_012172252.1,LOC100645468,uncharacterized protein LOC100645468
LOC100576273,XP_016772344.1,GB50166,NA,NA,NA,NA
LOC100576274,XP_006564292.1,NA,GB19971,XP_012170640.1,LOC100648469,zinc finger protein 214-like
LOC100576274,XP_003250445.2,NA,NA,NA,NA,NA
LOC100576279,XP_003251544.1,GB43230,GB10895,XP_003398766.1,LOC100646870,uncharacterized protein LOC100646870
LOC100576279,XP_006570506.1,GB43230,NA,NA,NA,NA
LOC100576282,XP_006558389.2,GB40184,GB30274,NA,NA,NA
LOC100576284,XP_003250738.2,GB52448,GB12500,XP_003393957.2,LOC100651360,uncharacterized protein LOC100651360
LOC100576288,XP_006568171.1,NA,NA,NA,NA,NA
LOC100576289,XP_003249427.1,GB55191,GB17375,XP_003396761.1,LOC100648514,uncharacterized protein LOC100648514
LOC100576290,XP_006561020.1,GB55743,GB12990,XP_003394207.1,LOC100642238,WD repeat-containing protein 78
LOC100576291,XP_016767982.1,GB40740,GB19445,XP_012174433.1,LOC100643994,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like
LOC100576291,XP_016767973.1,GB40740,NA,NA,NA,NA
LOC100576291,XP_016767975.1,GB40740,NA,NA,NA,NA
LOC100576291,XP_016767979.1,GB40740,NA,NA,NA,NA
LOC100576291,XP_016767983.1,GB40740,NA,NA,NA,NA
LOC100576291,XP_016767988.1,GB40740,NA,NA,NA,NA
LOC100576293,XP_003250662.1,GB42492,GB12968,XP_003396632.1,LOC100643485,zinc finger protein 668
LOC100576296,XP_003251824.1,GB52259,GB11289,XP_012175863.1,LOC100649990,probable Xaa-Pro aminopeptidase 3
LOC100576298,XP_006557365.1,GB40270,GB13342,XP_003397127.1,LOC100643696,uncharacterized protein LOC100643696
LOC100576300,XP_016769141.1,GB41160,GB14932,XP_003403222.1,LOC100646089,uncharacterized protein LOC100646089
LOC100576300,XP_003249409.1,GB41160,NA,NA,NA,NA
LOC100576304,XP_016768000.1,GB41459,GB10246,XP_003396128.1,LOC100650482,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like
LOC100576307,XP_006570560.1,GB43409,GB30404,XP_003395991.1,LOC100643447,Krueppel-like factor 14 isoform X1
LOC100576307,XP_003251568.1,GB43409,NA,NA,NA,NA
LOC100576320,XP_006561220.1,GB50737,GB18200,XP_003394074.1,LOC100646017,uncharacterized protein LOC100646017
LOC100576321,XP_006563347.1,GB40859,GB12843,XP_012167695.1,LOC100648755,uncharacterized protein LOC100648755
LOC100576326,XP_016769184.1,GB52597,GB11298,XP_012166633.1,LOC100648752,tryptase-2-like
LOC100576326,XP_016769182.1,GB52597,NA,NA,NA,NA
LOC100576326,XP_016769183.1,GB52597,NA,NA,NA,NA
LOC100576326,XP_016769185.1,GB52597,NA,NA,NA,NA
LOC100576326,XP_016769186.1,GB52597,NA,NA,NA,NA
LOC100576330,XP_006563622.1,NA,GB30023,XP_003401210.1,LOC100650343,uncharacterized protein LOC100650343 isoform X1
LOC100576333,XP_003251353.1,GB41265,GB13462,XP_003394134.1,LOC100643643,nucleoredoxin-like
LOC100576333,XP_006569312.1,GB41265,NA,NA,NA,NA
LOC100576333,XP_006569313.1,GB41265,NA,NA,NA,NA
LOC100576333,XP_006569314.1,GB41265,NA,NA,NA,NA
LOC100576336,XP_016768279.1,NA,NA,XP_003395999.1,LOC100644402,uncharacterized protein LOC100644402
LOC100576337,XP_006570960.1,GB45426,NA,XP_003394789.1,LOC100645867,deleted in autism protein 1 homolog
LOC100576341,NP_001257755.1,GB52920,GB15705,XP_003401238.1,LOC100643594,uncharacterized protein LOC100643594
LOC100576346,XP_006569999.2,NA,GB14722,XP_003399547.2,LOC100644186,LOW QUALITY PROTEIN: probable serine/threonine-protein kinase DDB_G0282963
LOC100576348,XP_006572020.1,GB47191,NA,XP_003396926.1,LOC100649503,uncharacterized protein LOC100649503
LOC100576348,XP_006572021.1,GB47191,NA,NA,NA,NA
LOC100576348,XP_016772810.1,GB47191,NA,NA,NA,NA
LOC100576349,XP_006572174.1,GB54569,GB11290,XP_012164463.1,LOC100643646,growth arrest-specific protein 1-like
LOC100576349,XP_003251882.1,GB54569,NA,NA,NA,NA
LOC100576349,XP_006572173.1,GB54569,NA,NA,NA,NA
LOC100576350,XP_016773086.1,GB46400,NA,NA,NA,NA
LOC100576351,XP_003252023.2,GB47762,NA,NA,NA,NA
LOC100576355,XP_006567487.1,GB53420,GB17008,XP_012167539.1,LOC100645638,uncharacterized protein LOC100645638 isoform X2
LOC100576355,XP_003251033.1,GB53420,NA,XP_012167538.1,LOC100645638,uncharacterized protein LOC100645638 isoform X1
LOC100576355,XP_003251034.1,GB53420,NA,NA,NA,NA
LOC100576355,XP_016769502.1,GB53420,NA,NA,NA,NA
LOC100576359,XP_016767931.1,GB52282,GB11559,XP_012174265.1,LOC100642271,integrator complex subunit 11
LOC100576361,XP_016767529.1,GB50466,GB19872,XP_003394748.1,LOC100650956,uncharacterized protein C1orf194
LOC100576361,XP_016767528.1,GB50466,NA,NA,NA,NA
LOC100576366,XP_003251354.1,GB41206,GB16332,XP_003394138.1,LOC100644121,LOW QUALITY PROTEIN: tRNA-splicing endonuclease subunit Sen2
LOC100576369,XP_016769623.1,GB45540,GB17935,XP_012173423.1,LOC100651145,ets DNA-binding protein pokkuri
LOC100576369,XP_003249075.1,GB45540,NA,NA,NA,NA
LOC100576369,XP_016769622.1,GB45540,NA,NA,NA,NA
LOC100576369,XP_016769624.1,GB45540,NA,NA,NA,NA
LOC100576370,XP_003249115.1,GB46637,NA,NA,NA,NA
LOC100576370,XP_016770729.1,GB46637,NA,NA,NA,NA
LOC100576373,XP_016771115.1,GB40691,GB10662,XP_012169910.1,LOC100644572,chloride channel CLIC-like protein 1 isoform X6
LOC100576374,XP_016771836.1,GB41744,GB11053,XP_012171437.1,LOC100649114,protein MMS22-like
LOC100576380,XP_006558123.1,NA,NA,NA,NA,NA
LOC100576381,XP_016769136.1,GB52591,GB20081,NA,NA,NA
LOC100576381,XP_016769134.1,GB52591,NA,NA,NA,NA
LOC100576381,XP_016769135.1,GB52591,NA,NA,NA,NA
LOC100576381,XP_016769137.1,GB52591,NA,XP_003397231.1,LOC100646507,bromodomain-containing protein DDB_G0280777-like isoform X1
LOC100576381,XP_016769138.1,GB52591,NA,NA,NA,NA
LOC100576381,XP_016769139.1,GB52591,NA,NA,NA,NA
LOC100576382,XP_006559542.1,NA,NA,NA,NA,NA
LOC100576382,XP_016768839.1,NA,NA,NA,NA,NA
LOC100576382,XP_016768840.1,NA,NA,XP_003403109.2,LOC100652101,uncharacterized protein LOC100652101
LOC100576383,XP_016767507.1,GB55923,GB30260,NA,NA,NA
LOC100576383,XP_006562029.1,GB55923,NA,NA,NA,NA
