Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_003392929.1,LOC100577142,LOC100577142,XP_006571558.2,100577142,PREDICTED: uncharacterized protein LOC100577142,GB54941,GB10044,XM_003392881.2,G-protein coupled receptor Mth2 isoform X1,LOC100651235
XP_003392930.1,LOC410779,LOC410779,XP_006571557.1,410779,PREDICTED: neuroligin-1 isoform X1,GB54987,GB10066,XM_003392882.2,neuroligin-1,LOC100651474
XP_003392931.1,LOC726350,LOC726350,XP_001122093.1,726350,PREDICTED: putative ATP-dependent RNA helicase DHX33,GB54986,GB11427,XM_003392883.2,putative ATP-dependent RNA helicase DHX33,LOC100651591
XP_003392932.1,LOC408634,LOC408634,XP_392174.1,408634,PREDICTED: major facilitator superfamily domain-containing protein 1-like,GB54985,GB14084,XM_003392884.2,major facilitator superfamily domain-containing protein 1-like,LOC100651709
XP_003392935.1,LOC409288,LOC409288,XP_392808.2,409288,PREDICTED: tribbles homolog 2,NA,GB10565,XM_003392887.2,tribbles homolog 2,LOC100652027
XP_003392936.1,LOC413422,LOC413422,XP_006571535.2,413422,PREDICTED: sterol regulatory element-binding protein 1,GB54953,GB30339,XM_003392888.2,sterol regulatory element-binding protein 1,LOC100652148
XP_003392938.1,LOC726431,LOC726431,XP_006571542.1,726431,PREDICTED: uncharacterized protein LOC726431 isoform X2,GB54950,GB16768,XM_003392890.2,uncharacterized protein LOC100642190 isoform X1,LOC100642190
XP_003392942.1,LOC552654,LOC552654,XP_016771943.1,552654,PREDICTED: proteasome subunit alpha type-1-like,GB54952,GB11284,XM_003392894.2,proteasome subunit alpha type-1,LOC100642673
XP_003392943.1,LOC552372,LOC552372,XP_624749.3,552372,PREDICTED: ER membrane protein complex subunit 8/9 homolog,GB54976,GB18847,XM_003392895.2,ER membrane protein complex subunit 8/9 homolog,LOC100642791
XP_003392944.1,LOC409505,LOC409505,XP_393012.2,409505,PREDICTED: cysteine-rich hydrophobic domain-containing protein 2,GB54981,GB14933,XM_003392896.2,cysteine-rich hydrophobic domain-containing protein 2,LOC100642911
XP_003392945.1,LOC726056,LOC726056,XP_001120360.1,726056,PREDICTED: 60S ribosomal protein L21,GB54979,GB16182,XM_003392897.2,60S ribosomal protein L21,LOC100643028
XP_003392947.1,LOC724587,LOC724587,XP_001120484.2,724587,PREDICTED: nucleotide exchange factor SIL1,GB47495,GB18167,XM_003392899.2,nucleotide exchange factor SIL1,LOC100643271
XP_003392951.1,LOC413674,LOC413674,XP_003251623.1,413674,PREDICTED: protein BCCIP homolog,GB47392,GB15320,XM_003392903.2,protein BCCIP homolog isoform X1,LOC100643719
XP_003392952.1,LOC410021,LOC410021,XP_016768943.1,410021,"PREDICTED: protein Skeletor, isoforms B/C isoform X2",GB47499,GB13612,XM_003392904.2,"protein Skeletor, isoforms B/C isoform X2",LOC100643838
XP_003392954.1,LOC413675,LOC413675,XP_397116.4,413675,PREDICTED: nuclear pore complex protein Nup107,GB47391,GB13383,XM_003392906.2,nuclear pore complex protein Nup107,LOC100644047
XP_003392955.1,LOC410022,LOC410022,XP_393509.2,410022,PREDICTED: mitochondrial-processing peptidase subunit beta,GB47500,GB11385,XM_003392907.2,mitochondrial-processing peptidase subunit beta,LOC100644159
XP_003392957.1,LOC551843,LOC551843,XP_624231.2,551843,"PREDICTED: LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial",GB47389,GB10946,XM_003392909.2,"LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial",LOC100644472
XP_003392961.1,LOC412948,LOC412948,XP_006570897.1,412948,PREDICTED: delta-1-pyrroline-5-carboxylate synthase isoform X2,GB47503,GB15049,XM_003392913.2,delta-1-pyrroline-5-carboxylate synthase,LOC100644951
XP_003392963.1,LOC409689,LOC409689,XP_393186.1,409689,PREDICTED: U4/U6 small nuclear ribonucleoprotein Prp4,GB47383,GB19235,XM_003392915.2,U4/U6 small nuclear ribonucleoprotein Prp4,LOC100645155
XP_003392968.1,LOC725308,LOC725308,XP_001120186.1,725308,PREDICTED: histone H2A-like,NA,GB18806,XM_003392920.2,histone H2A-like,LOC100645738
XP_003392971.1,LOC725450,LOC725450,XP_001120346.1,725450,PREDICTED: histone H2A,GB47507,GB12818,XM_003392923.2,histone H2A,LOC100646092
XP_003392977.1,LOC100577992,LOC100577992,XP_006571447.1,100577992,"PREDICTED: iron-sulfur cluster co-chaperone protein HscB, mitochondrial",GB51552,NA,XM_003392929.2,"iron-sulfur cluster co-chaperone protein HscB, mitochondrial",LOC100646890
XP_003392978.1,LOC410676,LOC410676,XP_394153.1,410676,PREDICTED: adenylate kinase isoenzyme 6,GB51623,GB16979,XM_003392930.2,adenylate kinase isoenzyme 6,LOC100647008
XP_003392980.1,LOC410674,LOC410674,XP_006571438.1,410674,PREDICTED: heterogeneous nuclear ribonucleoprotein L isoform X1,GB51622,GB17210,XM_003392932.2,heterogeneous nuclear ribonucleoprotein L isoform X1,LOC100647365
XP_003392981.1,LOC410673,LOC410673,XP_394150.4,410673,PREDICTED: protein RRNAD1,GB51620,GB16655,XM_003392933.2,LOW QUALITY PROTEIN: protein RRNAD1,LOC100647487
XP_003392983.2,LOC410672,LOC410672,XP_006571436.1,410672,PREDICTED: smad nuclear interacting protein 1,GB51561,GB14184,XM_003392935.2,LOW QUALITY PROTEIN: smad nuclear-interacting protein 1-like,LOC100647714
XP_003392984.1,LOC410671,LOC410671,XP_006571431.1,410671,PREDICTED: proto-oncogene tyrosine-protein kinase ROS isoform X3,GB51619,GB12743,XM_003392936.2,proto-oncogene tyrosine-protein kinase ROS isoform X1,LOC100647832
XP_003392985.1,LOC551893,LOC551893,XP_624282.1,551893,PREDICTED: prefoldin subunit 3,GB51564,GB11898,XM_003392937.2,prefoldin subunit 3,LOC100647952
XP_003392987.1,LOC551912,LOC551912,XP_624300.1,551912,PREDICTED: C-Myc-binding protein isoform X2,GB51617,GB13992,XM_003392939.2,C-Myc-binding protein isoform X1,LOC100648155
XP_003392988.1,LOC725459,LOC725459,XP_006571427.1,725459,PREDICTED: transmembrane protein C5orf28,GB51565,GB19610,XM_003392940.2,transmembrane protein C5orf28 isoform X1,LOC100648269
XP_003392989.1,LOC100576258,LOC100576258,XP_003251741.1,100576258,PREDICTED: uncharacterized protein LOC100576258,GB51566,GB19605,XM_003392941.2,uncharacterized protein LOC100648386,LOC100648386
XP_003392991.1,LOC408570,LOC408570,XP_397511.4,408570,PREDICTED: uncharacterized protein LOC408570,GB51613,GB16260,XM_003392943.2,uncharacterized protein LOC100648618,LOC100648618
XP_003392992.1,LOC412734,LOC412734,XP_396187.2,412734,PREDICTED: CWF19-like protein 1,GB51570,GB10744,XM_003392944.2,LOW QUALITY PROTEIN: CWF19-like protein 1,LOC100648734
XP_003392993.1,LOC552014,LOC552014,XP_624397.1,552014,PREDICTED: probable methylthioribulose-1-phosphate dehydratase,GB51614,GB11537,XM_003392945.2,probable methylthioribulose-1-phosphate dehydratase,LOC100648848
XP_003392994.1,LOC725684,LOC725684,XP_006571419.1,725684,PREDICTED: COMM domain-containing protein 10,GB51571,GB14229,XM_003392946.2,COMM domain-containing protein 10,LOC100648964
XP_003392995.1,LOC725748,LOC725748,XP_016769071.1,725748,PREDICTED: ankyrin repeat domain-containing protein 16-like,GB51573,GB14122,XM_003392947.2,ankyrin repeat domain-containing protein 16-like,LOC100649162
XP_003392998.1,LOC100577689,LOC100577689,XP_003251728.1,100577689,PREDICTED: uncharacterized protein LOC100577689,GB51608,NA,XM_003392950.2,uncharacterized protein LOC100649485 isoform X1,LOC100649485
XP_003392999.1,LOC408569,LOC408569,XP_392112.3,408569,PREDICTED: mitochondrial import inner membrane translocase subunit TIM50-C-like,GB51578,GB19639,XM_003392951.2,mitochondrial import inner membrane translocase subunit TIM50-C-like,LOC100649609
XP_003393003.1,LOC409312,LOC409312,XP_392830.2,409312,PREDICTED: collagen type IV alpha-3-binding protein isoform X1,GB51599,GB10955,XM_003392955.2,collagen type IV alpha-3-binding protein,LOC100650024
XP_003393005.1,LOC409313,LOC409313,XP_392831.2,409313,PREDICTED: actin-related protein 2 isoform X2,GB51588,GB13841,XM_003392957.2,actin-related protein 2 isoform X3,LOC100650266
XP_003393006.1,LOC100577533,LOC100577533,XP_016771739.1,100577533,PREDICTED: uncharacterized protein LOC100577533,GB51602,GB18834,XM_003392958.2,RNA pseudouridylate synthase domain-containing protein 4-like,LOC100650512
XP_003393009.1,LOC551559,LOC551559,XP_623954.1,551559,PREDICTED: translocon-associated protein subunit beta,GB51598,GB17592,XM_003392961.2,translocon-associated protein subunit beta,LOC100650833
XP_003393015.1,LOC100578551,LOC100578551,XP_003251738.1,100578551,"PREDICTED: 39S ribosomal protein L34, mitochondrial",GB51585,NA,XM_003392967.2,"39S ribosomal protein L34, mitochondrial",LOC100651668
XP_003393017.1,LOC412240,LOC412240,XP_395702.3,412240,PREDICTED: DNA repair protein complementing XP-A cells homolog,GB51597,GB14782,XM_003392969.2,DNA repair protein complementing XP-A cells homolog,LOC100651909
XP_003393022.1,LOC409238,LOC409238,XP_016773373.1,409238,PREDICTED: 43 kDa receptor-associated protein of the synapse homolog,GB55268,GB16885,XM_003392974.2,43 kDa receptor-associated protein of the synapse homolog isoform X3,LOC100642595
XP_003393025.1,LOC724411,LOC724411,XP_006570693.1,724411,PREDICTED: rhophilin-2 isoform X2,GB55274,NA,XM_003392977.2,rhophilin-2 isoform X2,LOC100642949
XP_003393026.1,LOC100578952,LOC100578952,XP_003251594.1,100578952,PREDICTED: protein tilB homolog,GB55304,GB12108,XM_003392978.2,protein tilB homolog,LOC100643068
XP_003393028.1,LOC551703,LOC551703,XP_624095.2,551703,PREDICTED: clavesin-2,GB55275,GB13387,XM_003392980.2,clavesin-2,LOC100643311
XP_003393030.1,LOC551643,Tret1,XP_006570640.1,551643,PREDICTED: trehalose transporter 1 isoform X2,GB55302,GB13688,XM_003392982.2,facilitated trehalose transporter Tret1-like isoform X2,LOC100643557
XP_003393032.1,LOC726368,LOC726368,XP_016773365.1,726368,PREDICTED: zinc finger protein 883-like,GB55278,GB30309,XM_003392984.2,gastrula zinc finger protein XlCGF57.1-like,LOC100643874
XP_003393033.1,LOC726320,LOC726320,XP_001122067.2,726320,PREDICTED: serpin B3-like isoform X1,GB55280,GB30307,XM_003392985.2,plasma protease C1 inhibitor,LOC100644115
XP_003393034.1,LOC100578782,LOC100578782,XP_006570675.1,100578782,PREDICTED: cytochrome b-c1 complex subunit 9,NA,GB10344,XM_003392986.2,cytochrome b-c1 complex subunit 9-like,LOC100644237
XP_003393035.1,LOC552091,LOC552091,XP_624472.3,552091,PREDICTED: group XV phospholipase A2-like isoform X1,GB55297,GB16886,XM_003392987.2,group XV phospholipase A2-like,LOC100644508
XP_003393036.1,LOC100578721,LOC100578721,XP_003251592.1,100578721,PREDICTED: TBC1 domain family member 20 isoform X2,GB55281,GB15205,XM_003392988.2,TBC1 domain family member 20 isoform X2,LOC100644629
XP_003393041.1,LOC410717,LOC410717,XP_006570648.1,410717,PREDICTED: serine/threonine-protein kinase MARK2 isoform X2,GB55293,GB15281,XM_003392993.2,serine/threonine-protein kinase MARK2-like isoform X2,LOC100645231
XP_003393042.1,LOC724761,LOC724761,XP_001120658.2,724761,PREDICTED: uncharacterized protein LOC724761,GB55285,GB11049,XM_003392994.2,uncharacterized protein LOC100645359 isoform X1,LOC100645359
XP_003393045.1,LOC408589,LOC408589,XP_623181.2,408589,PREDICTED: macro domain-containing protein CT2219-like isoform X1,GB55288,GB11117,XM_003392997.2,O-acetyl-ADP-ribose deacetylase MACROD2-like isoform X1,LOC100645477
XP_003393047.1,LOC724796,LOC724796,XP_001120698.2,724796,PREDICTED: homeobox protein SIX6,GB55286,GB10752,XM_003392999.2,homeobox protein six1,LOC100645933
XP_003393048.1,LOC411474,LOC411474,XP_394949.3,411474,PREDICTED: nucleoporin NUP188 homolog,GB47449,GB11711,XM_003393000.2,nucleoporin NUP188 homolog,LOC100646133
XP_003393051.2,LOC411473,LOC411473,XP_394948.5,411473,"PREDICTED: carnitine O-palmitoyltransferase 2, mitochondrial-like, partial",GB47450,GB17924,XM_003393003.2,"LOW QUALITY PROTEIN: carnitine O-palmitoyltransferase 2, mitochondrial-like",LOC100646454
XP_003393053.1,LOC409074,LOC409074,XP_392599.1,409074,PREDICTED: V-type proton ATPase 21 kDa proteolipid subunit-like,GB47441,GB17836,XM_003393005.2,V-type proton ATPase 21 kDa proteolipid subunit-like,LOC100646695
XP_003393055.1,LOC725421,LOC725421,XP_016771358.1,725421,PREDICTED: SET and MYND domain-containing protein 4-like,GB47451,GB19743,XM_003393007.2,SET and MYND domain-containing protein 4-like,LOC100646891
XP_003393058.1,LOC726218,LOC726218,XP_006570770.1,726218,"PREDICTED: acetyl-CoA acetyltransferase, mitochondrial",GB47436,GB18952,XM_003393010.2,"acetyl-CoA acetyltransferase, mitochondrial",LOC100647249
XP_003393059.1,LOC413374,LOC413374,XP_396819.2,413374,PREDICTED: putative inhibitor of apoptosis,GB47454,GB11057,XM_003393011.2,baculoviral IAP repeat-containing protein 7 isoform X1,LOC100647366
XP_003393061.1,LOC726172,LOC726172,XP_016771429.1,726172,PREDICTED: death-associated inhibitor of apoptosis 2-like,GB47455,GB17129,XM_003393013.2,apoptosis 1 inhibitor-like isoform X1,LOC100647488
XP_003393062.1,LOC411996,LOC411996,XP_016770468.1,411996,PREDICTED: uncharacterized protein LOC411996,GB47459,GB13410,XM_003393014.2,uncharacterized protein LOC100647953,LOC100647953
XP_003393064.1,LOC726113,LOC726113,XP_001121879.1,726113,PREDICTED: protein-serine O-palmitoleoyltransferase porcupine,GB47458,GB10911,XM_003393016.2,protein-cysteine N-palmitoyltransferase porcupine,LOC100648194
XP_003393065.1,LOC552186,LOC552186,XP_624567.3,552186,PREDICTED: cell division cycle protein 20 homolog isoform X1,GB47460,GB10871,XM_003393017.2,cell division cycle protein 20 homolog,LOC100648309
XP_003393066.2,LOC100578370,LOC100578370,XP_003251640.1,100578370,PREDICTED: protein inturned,GB47461,GB10716,XM_003393018.2,protein inturned,LOC100648422
XP_003393067.2,LOC725028,LOC725028,XP_001120930.2,725028,PREDICTED: F-box only protein 6-like,GB47434,GB13415,XM_003393019.2,F-box only protein 44-like,LOC100648541
XP_003393069.1,LOC413228,LOC413228,XP_624475.1,413228,"PREDICTED: 5-aminolevulinate synthase, erythroid-specific, mitochondrial",GB47432,GB19215,XM_003393021.2,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",LOC100648776
XP_003393070.1,LOC409832,LOC409832,XP_393322.1,409832,PREDICTED: 60S ribosomal protein L18a,GB47433,GB12795,XM_003393022.2,60S ribosomal protein L18a,LOC100648890
XP_003393073.1,LOC411704,LOC411704,XP_395172.2,411704,PREDICTED: guanine nucleotide-binding protein G(i) subunit alpha,GB47463,GB10966,XM_003393025.2,guanine nucleotide-binding protein G(i) subunit alpha,LOC100649199
XP_003393075.1,LOC411705,LOC411705,XP_395173.2,411705,PREDICTED: synaptojanin-1,GB47428,GB11219,XM_003393027.2,synaptojanin-1,LOC100649435
XP_003393076.1,LOC552264,LOC552264,XP_624643.2,552264,PREDICTED: protein ariadne-2,GB47427,GB18973,XM_003393028.2,protein ariadne-2,LOC100649560
XP_003393077.1,LOC100578901,LOC100578901,XP_006570792.1,100578901,PREDICTED: DPH3 homolog,NA,GB17153,XM_003393029.2,DPH3 homolog,LOC100649680
XP_003393078.1,LOC552221,LOC552221,XP_006570825.1,552221,PREDICTED: F-BAR domain only protein 2 isoform X15,GB47466,GB10799,XM_003393030.2,F-BAR domain only protein 2 isoform X5,LOC100649794
XP_003393080.1,LOC552221,LOC552221,XP_006570822.1,552221,PREDICTED: F-BAR domain only protein 2 isoform X10,GB47466,GB10799,XM_003393032.2,F-BAR domain only protein 2 isoform X3,LOC100649794
XP_003393082.1,LOC725819,LOC725819,XP_016766747.1,725819,PREDICTED: prolyl 3-hydroxylase 2-like,GB47423,GB16476,XM_003393034.2,prolyl 3-hydroxylase 1-like isoform X1,LOC100650141
XP_003393083.1,LOC409193,LOC409193,XP_006570836.1,409193,PREDICTED: microtubule-associated serine/threonine-protein kinase 3 isoform X6,GB47422,GB18880,XM_003393035.2,microtubule-associated serine/threonine-protein kinase 3 isoform X3,LOC100650267
XP_003393086.1,LOC100577593,LOC100577593,XP_006570842.1,100577593,"PREDICTED: metalloendopeptidase OMA1, mitochondrial-like isoform X1",GB47467,NA,XM_003393038.2,"metalloendopeptidase OMA1, mitochondrial-like",LOC100650589
XP_003393087.1,LOC413650,LOC413650,XP_397092.2,413650,PREDICTED: nuclear RNA export factor 1-like,GB47420,GB19026,XM_003393039.2,nuclear RNA export factor 1-like,LOC100650712
XP_003393089.1,LOC413649,LOC413649,XP_006570843.1,413649,PREDICTED: rRNA-processing protein FCF1 homolog,GB47469,GB12622,XM_003393041.2,rRNA-processing protein FCF1 homolog,LOC100650913
XP_003393090.1,LOC410009,LOC410009,XP_006570930.1,410009,PREDICTED: cadherin-related tumor suppressor,GB47470,GB10152,XM_003393042.2,cadherin-related tumor suppressor,LOC100651028
XP_003393097.1,LOC551978,LOC551978,XP_624364.1,551978,PREDICTED: dysbindin protein homolog,GB47472,GB16781,XM_003393049.2,dysbindin protein homolog,LOC100651945
XP_003393098.1,LOC412197,LOC412197,XP_395659.1,412197,PREDICTED: protein lethal(2)essential for life-like,GB47475,GB19995,XM_003393050.2,protein lethal(2)essential for life-like,LOC100652068
XP_003393104.1,LOC411982,LOC411982,XP_395448.3,411982,PREDICTED: E3 ubiquitin-protein ligase CBL-B isoform X1,GB47413,GB30354,XM_003393056.2,E3 ubiquitin-protein ligase CBL-B isoform X1,LOC100642596
XP_003393106.1,LOC726348,LOC726348,XP_016771132.1,726348,"PREDICTED: LOW QUALITY PROTEIN: peroxisomal biogenesis factor 6, partial",GB47477,GB10670,XM_003393058.2,peroxisome assembly factor 2,LOC100642792
XP_003393113.2,LOC726369,LOC726369,XP_016767124.1,726369,"PREDICTED: peptidyl-tRNA hydrolase 2, mitochondrial-like",NA,GB10242,XM_003393065.2,"peptidyl-tRNA hydrolase 2, mitochondrial-like isoform X1",LOC100643515
XP_003393119.1,LOC551205,LOC551205,XP_623603.1,551205,PREDICTED: neutral alpha-glucosidase AB isoform X2,GB47405,GB11040,XM_003393071.2,neutral alpha-glucosidase AB isoform X4,LOC100644473
XP_003393121.1,LOC412777,LOC412777,XP_396230.3,412777,PREDICTED: sodium/potassium/calcium exchanger Nckx30C isoform X3,GB45486,GB14308,XM_003393073.2,sodium/potassium/calcium exchanger Nckx30C isoform X3,LOC100644792
XP_003393124.1,LOC408573,LOC408573,XP_392115.1,408573,PREDICTED: eukaryotic translation initiation factor 6,GB45526,GB11906,XM_003393076.2,eukaryotic translation initiation factor 6,LOC100645278
XP_003393129.2,LOC411700,LOC411700,XP_006571335.1,411700,PREDICTED: heat shock protein 83,GB45495,GB14494,XM_003393081.2,heat shock protein 83,LOC100645819
